Metric,Value
Symbol,AGIL
Company Name,Agriauto Industries Limited
Price open,155.64
Price close,155.6
Price high,160
Price low,153.25
52 week high price,198
52 week low price,121.2
Market cap,5.6B
Shares outstanding,36M
Free float shares,21.6M
Weekly average volume,6.71K
Free Float %,60
Dividend Yield (%),1.35
Earnings Per Share,24.75
Net Income Margin (%),5.37
Price to Book Value,0.83
Price to Earnings,5.43
PEG Ratio,0.48
