Metric,Value
Symbol,THALL
Company Name,Thal Limited
Price open,605.99
Price close,590
Price high,605.99
Price low,585.02
52 week high price,730
52 week low price,414.51
Market cap,47.81B
Shares outstanding,81.03M
Free float shares,32.41M
Weekly average volume,20.1K
Free Float %,40
Dividend Yield (%),3.39
Earnings Per Share,115.4
Net Income Margin (%),23.44
Price to Book Value,0.82
Price to Earnings,5.37
PEG Ratio,-0.65
