Metric,Value
Symbol,GATM
Company Name,Gul Ahmed Textile Mills Limited
Price open,27.99
Price close,27.02
Price high,28.18
Price low,26.8
52 week high price,40.7
52 week low price,16.5
Market cap,20B
Shares outstanding,740.06M
Free float shares,185.01M
Weekly average volume,1.49M
Free Float %,25
Dividend Yield (%),0
Earnings Per Share,2.72
Net Income Margin (%),1.18
Price to Book Value,0.39
Price to Earnings,6.43
PEG Ratio,0.86
