Metric,Value
Symbol,UNIC
Company Name,The United Insurance Company
Price open,12.69
Price close,13
Price high,13.72
Price low,12.11
52 week high price,17
52 week low price,11.5
Market cap,6.49B
Shares outstanding,499.32M
Free float shares,99.86M
Weekly average volume,699.73K
Free Float %,20
Dividend Yield (%),0
Earnings Per Share,3.12
Net Income Margin (%),26.49
Price to Book Value,0.73
Price to Earnings,4.17
PEG Ratio,-
