Metric,Value
Symbol,ITANZ
Company Name,Itanz Technologies Limited
Price open,41.5
Price close,42.58
Price high,43.5
Price low,41.3
52 week high price,43.5
52 week low price,41.3
Market cap,4.59B
Shares outstanding,107.82M
Free float shares,48.52M
Weekly average volume,2.13M
Free Float %,45
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
