Metric,Value
Symbol,AGL
Company Name,Agritech Limited
Price open,48.52
Price close,48.65
Price high,50
Price low,48.1
52 week high price,88.5
52 week low price,38.68
Market cap,29.15B
Shares outstanding,599.08M
Free float shares,59.91M
Weekly average volume,133.74K
Free Float %,10
Dividend Yield (%),0
Earnings Per Share,3.53
Net Income Margin (%),5.97
Price to Book Value,1.63
Price to Earnings,12.96
PEG Ratio,-0.03
