Metric,Value
Symbol,TSML
Company Name,Tandlianwala Sugar Mills Limited
Price open,700.03
Price close,699.25
Price high,739.99
Price low,695
52 week high price,949
52 week low price,160
Market cap,82.31B
Shares outstanding,117.71M
Free float shares,5.89M
Weekly average volume,889.8
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,6.65
Net Income Margin (%),1.44
Price to Book Value,7.36
Price to Earnings,36.09
PEG Ratio,2.84
