Metric,Value
Symbol,FCEL
Company Name,First Capital Equities Limited
Price open,5.28
Price close,5.1
Price high,5.29
Price low,5
52 week high price,8.76
52 week low price,3.75
Market cap,720.81M
Shares outstanding,141.34M
Free float shares,42.4M
Weekly average volume,29.07K
Free Float %,30
Dividend Yield (%),0
Earnings Per Share,0.97
Net Income Margin (%),3.63K
Price to Book Value,1.35
Price to Earnings,4.65
PEG Ratio,-0.6
