Metric,Value
Symbol,MUREB
Company Name,Murree Brewery Company Limited
Price open,924.95
Price close,910.1
Price high,924.95
Price low,890
52 week high price,1.17K
52 week low price,800
Market cap,25.18B
Shares outstanding,27.66M
Free float shares,11.07M
Weekly average volume,16.2K
Free Float %,40
Dividend Yield (%),4.97
Earnings Per Share,126.08
Net Income Margin (%),10.61
Price to Book Value,1.32
Price to Earnings,6.63
PEG Ratio,0.13
