Metric,Value
Symbol,HCAR
Company Name,Honda Atlas Cars (Pakistan) Limited
Price open,241.01
Price close,239.06
Price high,244.99
Price low,238.79
52 week high price,321
52 week low price,147.5
Market cap,34.14B
Shares outstanding,142.8M
Free float shares,28.56M
Weekly average volume,766.11K
Free Float %,20
Dividend Yield (%),5.94
Earnings Per Share,22.64
Net Income Margin (%),2.64
Price to Book Value,1.34
Price to Earnings,6.69
PEG Ratio,32.55
