Metric,Value
Symbol,QUICE
Company Name,Quice Food Industries Limited
Price open,35.5
Price close,34.3
Price high,35.5
Price low,33.8
52 week high price,46.06
52 week low price,7.51
Market cap,3.38B
Shares outstanding,98.46M
Free float shares,68.92M
Weekly average volume,858.51K
Free Float %,70
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
