Metric,Value
Symbol,FFLM
Company Name,First Fidelity Leasing Modaraba
Price open,16.35
Price close,15.14
Price high,16.55
Price low,14.85
52 week high price,27.23
52 week low price,4.4
Market cap,399.9M
Shares outstanding,26.41M
Free float shares,17.17M
Weekly average volume,640.38K
Free Float %,65
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
