Metric,Value
Symbol,ATRL
Company Name,Attock Refinery Limited
Price open,897
Price close,900.12
Price high,923
Price low,895
52 week high price,1.01K
52 week low price,597.1
Market cap,95.97B
Shares outstanding,106.62M
Free float shares,42.65M
Weekly average volume,701.08K
Free Float %,40
Dividend Yield (%),1
Earnings Per Share,180.56
Net Income Margin (%),6.62
Price to Book Value,0.56
Price to Earnings,4.17
PEG Ratio,-0.01
