Metric,Value
Symbol,JDWS
Company Name,JDW Sugar Mills Limited
Price open,955
Price close,951.94
Price high,956.98
Price low,916.02
52 week high price,1.03K
52 week low price,780
Market cap,55B
Shares outstanding,57.78M
Free float shares,8.67M
Weekly average volume,182.4
Free Float %,15
Dividend Yield (%),7.77
Earnings Per Share,172.77
Net Income Margin (%),7.74
Price to Book Value,1.41
Price to Earnings,4.84
PEG Ratio,0.13
