Metric,Value
Symbol,HAFL
Company Name,Hafiz Limited
Price open,494.9
Price close,499.89
Price high,500
Price low,450
52 week high price,629.5
52 week low price,283.58
Market cap,599.87M
Shares outstanding,1.2M
Free float shares,42.48K
Weekly average volume,113.6
Free Float %,3.54
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
