Metric,Value
Symbol,ISIL
Company Name,Ismail Industries Limited
Price open,1.96K
Price close,1.94K
Price high,1.98K
Price low,1.91K
52 week high price,2.37K
52 week low price,1.73K
Market cap,128.53B
Shares outstanding,66.36M
Free float shares,3.32M
Weekly average volume,341
Free Float %,5
Dividend Yield (%),0.28
Earnings Per Share,62.5
Net Income Margin (%),3.31
Price to Book Value,4.64
Price to Earnings,31.19
PEG Ratio,0.47
