Metric,Value
Symbol,ARMG
Company Name,ARM Green Industries Limited
Price open,77
Price close,70.7
Price high,77
Price low,63.55
52 week high price,77
52 week low price,45.05
Market cap,759.63M
Shares outstanding,10.74M
Free float shares,1.07M
Weekly average volume,909.4
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
