Metric,Value
Symbol,UVIC
Company Name,The Universal Insurance Company Limited
Price open,24.01
Price close,24.01
Price high,24.01
Price low,24.01
52 week high price,42.94
52 week low price,8.1
Market cap,1.2B
Shares outstanding,50M
Free float shares,5M
Weekly average volume,6.51K
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
