Metric,Value
Symbol,NRSL
Company Name,Nimir Resins Limited
Price open,34.49
Price close,33.59
Price high,34.49
Price low,32.51
52 week high price,40.24
52 week low price,20.6
Market cap,4.75B
Shares outstanding,141.32M
Free float shares,42.4M
Weekly average volume,17.72K
Free Float %,30
Dividend Yield (%),0
Earnings Per Share,2.09
Net Income Margin (%),2.61
Price to Book Value,1.3
Price to Earnings,11.22
PEG Ratio,1.45
