Metric,Value
Symbol,DMC
Company Name,D.M. Corporation Limited.
Price open,180
Price close,190.13
Price high,198.9
Price low,180
52 week high price,351.9
52 week low price,43.05
Market cap,580.35M
Shares outstanding,3.05M
Free float shares,915.73K
Weekly average volume,610.6
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
