Metric,Value
Symbol,FSWL
Company Name,Fateh Sports Wear Limited
Price open,166.4
Price close,150.29
Price high,176.9
Price low,150.25
52 week high price,280
52 week low price,72.06
Market cap,300.58M
Shares outstanding,2M
Free float shares,96.07K
Weekly average volume,8.01K
Free Float %,4.8
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
