Metric,Value
Symbol,STL
Company Name,Supernet Technologies Limited
Price open,43.9
Price close,41.34
Price high,43.9
Price low,40.8
52 week high price,2.23K
52 week low price,40.8
Market cap,4.45B
Shares outstanding,107.62M
Free float shares,43.05M
Weekly average volume,1.75M
Free Float %,40
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
