Metric,Value
Symbol,QTECH
Company Name,Quantum Data Technologies Limited
Price open,51.11
Price close,49.7
Price high,52.35
Price low,49.2
52 week high price,57.8
52 week low price,23.1
Market cap,6.04B
Shares outstanding,121.58M
Free float shares,30.39M
Weekly average volume,3.06M
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
