Metric,Value
Symbol,DYNO
Company Name,Dynea Pakistan Limited
Price open,348
Price close,349.99
Price high,352.99
Price low,348
52 week high price,366.9
52 week low price,254.3
Market cap,6.61B
Shares outstanding,18.87M
Free float shares,12.27M
Weekly average volume,31.46K
Free Float %,65
Dividend Yield (%),6.04
Earnings Per Share,55.14
Net Income Margin (%),7.33
Price to Book Value,1.22
Price to Earnings,4.88
PEG Ratio,0.69
