Metric,Value
Symbol,SPSL
Company Name,Sitara Petroleum Service Limited
Price open,18.2
Price close,17.98
Price high,18.33
Price low,17.94
52 week high price,23.45
52 week low price,17.9
Market cap,30.2B
Shares outstanding,1.68B
Free float shares,335.98M
Weekly average volume,5.8M
Free Float %,20
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
