Metric,Value
Symbol,AMBL
Company Name,Apna Microfinance Bank Limited
Price open,23.49
Price close,22.04
Price high,23.5
Price low,22.02
52 week high price,41
52 week low price,8.85
Market cap,9.45B
Shares outstanding,428.98M
Free float shares,21.45M
Weekly average volume,2.5K
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,-3.57
Net Income Margin (%),-40.97
Price to Book Value,-0.87
Price to Earnings,-6.18
PEG Ratio,-
