Metric,Value
Symbol,GADT
Company Name,Gadoon Textile Mills Limited
Price open,286.71
Price close,283.01
Price high,288.16
Price low,283
52 week high price,530
52 week low price,215
Market cap,7.93B
Shares outstanding,28.03M
Free float shares,8.41M
Weekly average volume,8.54K
Free Float %,30
Dividend Yield (%),0
Earnings Per Share,43.77
Net Income Margin (%),1.72
Price to Book Value,0.32
Price to Earnings,5.45
PEG Ratio,0.55
