Metric,Value
Symbol,AHTM
Company Name,Ahmad Hassan Textile Mills Limited
Price open,89.05
Price close,90.53
Price high,92.05
Price low,85.11
52 week high price,134.15
52 week low price,59.4
Market cap,766.93M
Shares outstanding,8.47M
Free float shares,1.27M
Weekly average volume,433.2
Free Float %,15
Dividend Yield (%),1.66
Earnings Per Share,12.65
Net Income Margin (%),2.07
Price to Book Value,0.32
Price to Earnings,7.15
PEG Ratio,-2.59
