Metric,Value
Symbol,DWTM
Company Name,Dewan Textile Mills Limited
Price open,9.7
Price close,10.06
Price high,10.52
Price low,9.4
52 week high price,13.9
52 week low price,5.2
Market cap,463.41M
Shares outstanding,46.06M
Free float shares,2.3M
Weekly average volume,251.94K
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,-2.52
Net Income Margin (%),-
Price to Book Value,-0.16
Price to Earnings,-3.99
PEG Ratio,-0.18
