Metric,Value
Symbol,PRL
Company Name,Pakistan Refinery Limited
Price open,41.8
Price close,44.59
Price high,45.7
Price low,41.5
52 week high price,45.7
52 week low price,23.2
Market cap,28.09B
Shares outstanding,630M
Free float shares,227.29M
Weekly average volume,21.18M
Free Float %,36.08
Dividend Yield (%),0
Earnings Per Share,19.07
Net Income Margin (%),3.89
Price to Book Value,0.73
Price to Earnings,1.48
PEG Ratio,0.01
