Metric,Value
Symbol,ASHT
Company Name,Ashfaq Textile Mills Limited
Price open,33.5
Price close,32
Price high,33.5
Price low,31.41
52 week high price,70
52 week low price,13.64
Market cap,1.49B
Shares outstanding,46.57M
Free float shares,2.33M
Weekly average volume,3.62K
Free Float %,5
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
