Metric,Value
Symbol,BBFL
Company Name,Big Bird Foods Limited
Price open,43.89
Price close,42.99
Price high,44.1
Price low,42.5
52 week high price,57.35
52 week low price,34
Market cap,12.85B
Shares outstanding,298.91M
Free float shares,115.24M
Weekly average volume,781.37K
Free Float %,38.55
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
